beck_id beck_greek_name beck_english_name
DMM3050	πάνακες Χειρώνιον	Panaces olympicum Chiron’s allheal
DMM3051	λιγυστικόν	Lovage
DMM3052	σταφυλῖνος ἄγριος	Wild carrot
DMM3053	σέσελι	Massilian hartwort
DMM3054	τόρδιλον	Cretan hartwort
DMM3055	σίνων	Stone parsley
DMM3056	ἄνησσον	Anise
DMM3057	καρώ	Caraway
DMM3058	ἄνηθον	Dill
DMM3059	κύμινον ἥμερον	Cultivated cumin
DMM3060	κύμινον ἄγριον	Wild cumin
DMM3061	ἕτερον γένος ἀγρίου κυμίνου	Another kind of wild cumin
DMM3062	ἄμι	Ajowan
DMM3063	κόριον	Coriander
DMM3064	σέλινον κηπαῖον	Garden celery
DMM3065	ὀρεοσέλινον	Mountain parsley
DMM3066	πετροσέλινον	Parsley
DMM3067	ἱπποσέλινον	Alexanders
DMM3068	σμύρνιον	Cretan alexanders
DMM3069	ἐλαφοβόσκον	Parsnip
DMM3070	μάραθον	Fennel
DMM3071	ἱππομάραθον	Horse fennel
DMM3072	δαῦκος	Daucos
DMM3073	πύρεθρος	Pellitory
DMM3074	λιβανωτίς	Rosemary frankincense
DMM3075	λιβανωτίς	Rosemary
DMM3076	σφονδύλιον	Cow-parsnip
DMM3077	νάρθηξ	Giant fennel
DMM3078	πευκέδανον	Sulphurwort
DMM3079	μελάνθιον	Black cumin
DMM3080	σίλφιον	Laserwort
DMM3081	σαγάπηνον	Sagapenon
DMM3082	εὐφόρβιον	Spurge
DMM3083	χαλβάνη	Galbanum
DMM3084	ἀμμωνιακόν	Gum ammoniac
DMM3085	σαρκοκόλλα	Sarcocolla
DMM3086	γλαύκιον	Glaucion
DMM3087	κόλλα	Glue
DMM3088	ἰχθυκόλλα	Fish glue
DMM3089	ἰξός	Oak-mistletoe
DMM3090	ἀπαρίνη	Cleavers
DMM3091	ἄλυσσον	Madwort
DMM3092	ἀσκληπιάς	Swallowwort
DMM3093	ἀτρακτυλίς	Spindle thistle
DMM3094	πολύκνημον	Field basil
DMM3095	κλινοπόδιον	Horse thyme
DMM3096	λεοντοπέταλον	Leontopetalon
DMM3097	Τεύκριον	Tree germander
DMM3098	χαμαίρωψ	Wall germander
DMM3099	λευκάς	Dead nettle
DMM3100	λυχνὶς στεφανωματική	Rose campion
DMM3101	λυχνὶς ἀγρία	Corn cockle
DMM3102	κρίνον	Lily
DMM3103	βαλλωτή	Black horehound
DMM3104	μελισσόφυλλον	Balm
DMM3105	πράσιον	Horehound
DMM3106	στάχυς	Base horehound
DMM3107	φυλλῖτις	Hart’s tongue
DMM3108	φαλλάγγιον	Spiderwort
DMM3109	τρίφυλλον	Treacle clover
DMM3110	πόλιον	Hulwort
DMM3111	σκόρδιον	Garlic germander
DMM3112	βήχιον	Colt’s foot
DMM3113	ἀρτεμισία	Wormwood
DMM3114	ἀμβροσία	Ambrose
DMM3115	βότρυς	Oak of Jerusalem
