barbaro_iiif	barbaro_page	barbaro_term	barbaro_chapter
84	38v	Porrum	CCCLXXXII
84	38v	Ampeloprason	CCCLXXXIII
84	38v	Cepa	CCCLXXXIIII
84	38v	Allium	CCCLXXXV
84	38v	Scorodoprason	CCCLXXXVI
84	38v	Sinapi	CCCLXXXVII
85	39r	Nasturtium	CCCLXXXVIII
85	39r	Thlaspae sive Thlapsi	CCCLXXXIX
85	39r	Araba	CCCXC
85	39r	Erysimon	CCCXCI
85	39r	Piper	CCCXCII
85	39r	Zinziber aut zinziberi	CCCXCIII
85	39r	Hydropiper	CCCXCIIII
85	39r	Ptarmice	CCCXCV
86	39v	Struthion	CCCXCVI
86	39v	Cyclaminos	CCCXCVII
86	39v	Altera cyclaminos	CCCXCVIII
86	39v	Dracunculus maior	CCCXCIX
86	39v	Dracunculus minor	CCCC
86	39v	Aros	CCCCI
86	39v	Arisaron	CCCCII
