lusitanus_iiif	lusitanus_entry	lusitanus_chapter
239	De malvis (malva / malves)	Enarratio 112
239	De atriplice (atraphaxys, atriplex, aureum olus / arrouches, des bones dammes)	Enarratio 113
240	De brassica (crambe, brassica, caulis / des chauls). Altera species (lacuturris, caputium)	Enarratio 114
242	De brassica marina (brassica marina, soldanella)	Enarratio 115
242	De beta (beta, sicla, olus siculum / de la porree, ou de la iotte)	Enarratio 116
243	De portulaca (portulaca / de la purceline)	Enarratio 117
243	De asparagis (asparagus / des asperges)	Enarratio 118
244	De plantagine (arnoglossa, plantago, lingua agni, septinervia, stelaphuros / du plantain). Minoris plantaginis latina nomina (lanciolata, plantago minor, lingua arietis, lingua agni / lengue de moton)	Enarratio 119
245	De sio (sium, lauer, anagallis aquatica / la berle)	Enarratio 120
245	De sisymbrio (sisymbrium, corona veneris, balsamita, menta aquatica / balsamita)	Enarratio 121
246	De altero sisymbrio (sisymbrium alterum, aquaticum nasturtium, aquaticum sisymbrium, crissones / du cresson)	Enarratio 122
247	De crethmo (crethmon, batis, baticula, crethamus, petroselinum marinum, foeniculum marinum, unguis aquilae / de la creste marine, de la bacille)	Enarratio 123
247	De coronopo (coronopus, cornu cervi herba, stella maris / capriole)	Enarratio 124
247	De soncho (sonchus, lactucella, cicerbita, palatium leporis / du latteron, ou palais au lievre)	Enarratio 125
248	De endivia (cichorium, cichorea, intubus agrestis, intubum agreste, ambubeia, picris / cichoree). Secunda species cichorii agestis (dens leonis, rostrum porcinum, tarraxacon / tarraxaconp). Endivia domestica (intubus, intubum sativum, endivia domestica, latifolia / delendivie). Alia domestica strictioribus folijs (seriola, scariola / scariola)	Enarratio 126
249	De condrilla (condrilla / du lettron)	Enarratio 127
250	De cucurbita (cucurbita / une courge)	Enarratio 128
251	De sativo cucumere (cucumer sativus, cucums / cocombre). Pepo (citrullus, pepo / citrullo)	Enarratio 129
253	De lactuca (lactuca / une lactue)	Enarratio 130
253	De gingidio (gingidium, chaerefolium / du cerfueil)	Enarratio 131
254	De scandice (scandix)	Enarratio 132
254	De caucalide (caucalis herba, daucus agrestis)	Enarratio 133
255	De eruca (eruca, salax eruca / de la roquette)	Enarratio 134
255	De ocimo (ocimum, basilicon regium, ocimum gariophyllatum / du basilic)	Enarratio 135
256	De orobanche (orobanche, ervi angina / teniam)	Enarratio 136
256	Det tragopogone (tragopogon, barbula hirci)	Enarratio 137
256	De ornithogalo (ornithogalum, lac gallinaceum / churlos)	Enarratio 138
257	De tuberibus terrae (tuber terrae / trufla)	Enarratio 139
257	De hortensi smilace (smilax hortensis, phaselus / phasiole)	Enarratio 140
258	De medica herba (medica herba)	Enarratio 141
258	De aphace (aphace, sylvestris vitia)	Enarratio 142
258	De porro capitato (porrum capitatum / pourceaulx)	Enarratio 143
259	De ampelopraso (ampeloprasum, vinearum porrum, agreste porrum / poreau saulvagez)	Enarratio 144
260	De cepa (cepa, cepe / oignon)	Enarratio 145
260	De allio (allium, scorodon, rusticorum theriaca / ail, ou aux)	Enarratio 146
261	De scorodopraso (altium porrum, allium turcicum, allium thurcarum)	Enarratio 147
262	De sinapi (sinapis, sinapi, napi, semen sinapis / seneve)	Enarratio 148
262	De nasturtio (nasturtium, cardamum, cynocardamum / du cresson, alenois, du nasi tort)	Enarratio 149
263	De thlaspi (thlaspi, capsella, scandulaceum, sinapi rusticum, nasturtiumtectorum / semence saulvaige)	Enarratio 150
264	De arabide (arabis, drabe)	Enarratio 151
264	De erysimo (trion, rapistrum, sylvestre sinapi / velar, ou de la tortelle)	Enarratio 152
264	De pipere (piper / pepre)	Enarratio 153
266	De zingibere (zingiber / zengenbri)	Enarratio 154
267	De hydropipere (hydropiper, persicaria non maculata / herba persicaria)	Enarratio 155
267	De ptarmice / agreste pyretro)	Enarratio 156
268	De struthio (radicula, lanaria, saponaria, herba fullorum / le herbe à fulon)	Enarratio 157
269	De cyclamine (cyclamen, cyclaminus, rapum, umbilicus terrae, arthanita, panis porcinus, bothomarien / pain de porceau)	Enarratio 158
270	De altera cyclamino (altera cyclaminus, alterum cyclamen, cyssanthemon)	Enarratio 159
270	De dracunculo maiori (dracunculus maior, dracontium magnum, collum draconis, colubrina, serpentaria, viperma / serpentine)	Enarratio 160
271	De dracunculo minori (dracunculus minor, dracuntium minus / serpentine petit)	Enarratio 161
271	De aro (arum, canis priapus, sacerdotis virile / vit de prebstre)	Enarratio 162
272	De arisaro (arisarum)	Enarratio 163
272	De asphodelo (asphodelus, bastula regna, affodilus, albucus / haste boyalle)	Enarratio 164
273	De bulbo vomitorio (bulbus vomitorius)	Enarratio 165
