laguna_scan_id	laguna_book	laguna_page	laguna_chapter	laguna_title	laguna_iiif
367	Libro tercero	355	Cap CXXXVII	Del Satyrion	
368	Libro tercero	356	Cap CXXXVIII	Del Ormino	
368	Libro tercero	356	Cap CXXXIX	Del Hedyfaro	
369	Libro tercero	357	cap CXLI	De la Onosma	
369	Libro tercero	357	Cap CXLII	De la Nymphea	
370	Libro tercero	358	Cap CXLIII	De otra espiece nymphea	
370	Libro tercero	358	Cap CXLIIII	Del Androsace	
370	Libro tercero	358	Cap CXLV	Del Aspleno	
371	Libro tercero	359	Cap CXLVI	De la Hemionite	
372	Libro tercero	360	Cap CXLVII	De la Anthylide	
372	Libro tercero	360	Cap CXLVIII	De la mancanilla	
374	Libro tercero	362	Cap CXLIX	Del parthenio	
375	Libro tercero	363	Cap CL	Del Buphtalmo	
376	Libro tercero	364	Cap CLI	De la poenia	
