mm_id,chapter_key,berendes_term,beck_greek_lemma,wellmann_greek_lemma,matthiolo_greek,ratio_beck_wellmann,ratio_beck_matthiolo
MMK627,4.52,Sumpfschoinos,σχοῖνος ἐλείας,σχοῖνος ἐλείας,Σχοῖνος,1.000,0.667
MMK628,4.53,Flechte,λειχήν ὁ ἐπὶ τῶν πετρῶν,λειχήν ὁ ἐπὶ τῶν πετρῶν,Λειχήν,1.000,0.414
MMK632,4.57,Elichryson,ἐλίχρυσον ἢ χρυσάνθεμον,ἐλίχρυσον ἢ χρυσάνθεμον,Ἑλίχρυσον,1.000,0.562
MMK640,4.65,Gartenmohn,μήκων,μήκων,Μήκων ἥμερος,1.000,0.588
MMK647,4.72,Strychnos Halikakabos,ἕτερον στρύχνον,ἕτερον στρύχνον,Στρύχνος ἁλικάκαβος,1.000,0.412
MMK657,4.82,Oleander,νήριον,νήριον,Νήριον ἤ Ῥοδόδενδρον,1.000,0.462
MMK664,4.89,Kleine Hauswurz,ἀείζῳον τὸ μικρόν,ἀείζῳον τὸ μικρόν,Ἀείζωον μικρόν; Ἀείζωον εἶδος τρίτον,1.000,0.528
MMK666,4.91,Andere Hauswurz,τρίτον εἶδος ἀείζῳον; ἕτερον εἶδος κοτυληδόνος,τρίτον εἶδος ἀείζῳον; ἕτερον εἶδος κοτυληδόνος,Κοτυληδών ἕτερα,1.000,0.262
MMK673,4.98,Meertang,φῦκος,φῦκος,Φῦκος θαλάσσιον,1.000,0.500
MMK675,4.100,Stratiotes,στρατιώτης ὁ ἐπὶ τῶν ὑδάτων,στρατιώτης ὁ ἐπὶ τῶν ὑδάτων,Στρατιώτης,1.000,0.541
MMK683,4.108,Erdrauch,καπνὸς ὁ ἐν ταῖς κριθαῖς φυόμενος,καπνὸς ὁ ἐν ταῖς κριθαῖς φυόμενος,Καπνός,1.000,0.308
MMK684,4.109,Gebauter Lotos,λωτὸς ὁ ἐν τοῖς παραδείσοις φυόμενος,λωτὸς ὁ ἐν τοῖς παραδείσοις φυόμενος,Λοτός ἥμερος,1.000,0.375
MMK687,4.112,Aegyptischer Lotos,λωτὸς ὁ ἐν Αἰγύπτῳ γεννώμενος,λωτὸς ὁ ἐν Αἰγύπτῳ γεννώμενος,Λωτός αἰγύπτιος,1.000,0.636
MMK695,4.120,Veilchen,ἴον,ἴον,Ἴον πορφυροῦν,1.000,0.375
MMK713,4.138,Bromos,γλαύξ,γλαύξ,Βρῶμος,1.000,0.000
MMK714,4.139,Glaux,πολύγαλον,πολύγαλον,Γλαύξ,1.000,0.286
MMK715,4.140,Kreuzblume,ὄσιρις,ὄσιρις,Πολύγαλον,1.000,0.133
MMK716,4.141,Osyris,ἐχῖνος,ἐχῖνος,Ὄσυρις,1.000,0.333
MMK723,4.148,Weisse Nieswurz,ἐλλέβορος,ἐλλέβορος,Ἐλλέβορος λευκός,1.000,0.720
MMK727,4.152,Wilde Gurke,σίκυς ἄγριος,σίκυς ἄγριος,Σίκυς ἄγριος; Σταφίς ἀγρία,1.000,0.632
MMK728,4.153,Scharfer Rittersporn,σταφὶς ἁγρία,σταφὶς ἁγρία,Περἰ Σταφίδος ἀγρίας,1.000,0.750
MMK730,4.155,Elaterion,ἡμέρου σικύου ἡ ῥιζα; σπάρτιον,ἡμέρου σικύου ἡ ῥιζα; σπάρτιον,Σπαρτίον,1.000,0.421
MMK732,4.157,Salbeneichel,βάλανος μυρεψική,βάλανος μυρεψική,Βάλανος μυρεψική; Περἰ Βαλάνον μυρεφικη̃ς,1.000,0.571
MMK736,4.161,Wunderbaum,κίκι,κίκι,Κίκι ἣ κρότων,1.000,0.471
MMK737,4.162,Wolfsmilcharten,τιθύμαλλος,τιθύμαλλος,Τιθυμάλοι; Περἰ Τιθυμάλων,1.000,0.457
MMK745,4.170,S?dlicher Seidelbast,θυμελαία ἢ χαμελαία,θυμελαία ἢ χαμελαία,Θυμελαία,1.000,0.593
MMK750,4.175,Koloquinthe,κολόκυνθα ἀγρία,κολόκυνθα ἀγρία,Κολοκυνθίς,1.000,0.720
MMK754,4.179,Klematis,κληματίς,κληματίς,Περἰ Κληματίδιδος,1.000,0.640
MMK775,5.7,Die Eigenschaft der Weine nach ihrem Alter,οἶνοι,οἶνοι,Οἴνου φύσις,1.000,0.625
MMK783,5.15,Honigwein,μελιλίτης,μελιλίτης,Οἶνος μελιτίτης,1.000,0.667
MMK787,5.19,Meerwasser,θαλάττιον ὕδωρ,θαλάττιον ὕδωρ,Ὕδωρ θαλάττιον,1.000,0.643
MMK794,5.26,Meerzwiebelwein,ὁ ἀπὸ τῆς σκίλλης οἶνος,ὁ ἀπὸ τῆς σκίλλης οἶνος,Σκιλλητικός οἶνος,1.000,0.650
MMK795,5.27,Meerwasserwein,οἱ διὰ θαλάττης οἶνοι,οἱ διὰ θαλάττης οἶνοι,Οἴνοι θαλάσσιοι,1.000,0.611
MMK796,5.28,Andere k?nstliche Weine,ὁ κυδωνίτης,ὁ κυδωνίτης,Κυδωνίτης οἶνος,1.000,0.692
MMK797,5.29,Apfelhonig,μηλόμελι,μηλόμελι,Περἰ Μηλομέλιτος,1.000,0.667
MMK800,5.32,Birnenwein,ἀπίτης,ἀπίτης,Ἀπίτης οἶνος,1.000,0.667
MMK801,5.33,Weinbl?thenwein,οἰνάνθινος,οἰνάνθινος,Οἰνάνθινος οἶνος,1.000,0.769
MMK802,5.34,Granatenwein,ῥοίτης,ῥοίτης,Ῥοίτης οἶνος,1.000,0.667
