entry_a,entry_b,alignment_type,confidence,notes
beck:1.17,gunther:1.16,equivalent,certain,
beck:1.17,laguna:1.17,equivalent,certain,
beck:1.17,lusitanus:16,equivalent,certain,
beck:1.17,monardes:XVI,equivalent,certain,
beck:1.17,wellmann:1.17,equivalent,certain,
berendes:1.16,gunther:1.16,equivalent,certain,
berendes:1.16,laguna:1.17,equivalent,certain,
berendes:1.16,lusitanus:16,equivalent,certain,
berendes:1.16,monardes:XVI,equivalent,certain,
berendes:1.16,wellmann:1.17,equivalent,certain,
gunther:1.16,laguna:1.17,equivalent,certain,
gunther:1.16,lusitanus:16,equivalent,certain,
gunther:1.16,monardes:XVI,equivalent,certain,
gunther:1.16,wellmann:1.17,equivalent,certain,
laguna:1.17,lusitanus:16,equivalent,certain,
laguna:1.17,monardes:XVI,equivalent,certain,
laguna:1.17,wellmann:1.17,equivalent,certain,
lusitanus:16,monardes:XVI,equivalent,certain,
lusitanus:16,wellmann:1.17,equivalent,certain,
monardes:XVI,wellmann:1.17,equivalent,certain,
"barbaro:XVII",beck:1.18,equivalent,certain,
"barbaro:XVII",berendes:1.17,equivalent,certain,
"barbaro:XVII",laguna:1.18,equivalent,certain,
"barbaro:XVII",lusitanus:17,equivalent,certain,
"barbaro:XVII",monardes:XVII,equivalent,certain,
"barbaro:XVII",wellmann:1.18,equivalent,certain,
beck:1.18,berendes:1.17,equivalent,certain,
beck:1.18,laguna:1.18,equivalent,certain,
beck:1.18,lusitanus:17,equivalent,certain,
beck:1.18,monardes:XVII,equivalent,certain,
beck:1.18,wellmann:1.18,equivalent,certain,
berendes:1.17,laguna:1.18,equivalent,certain,
berendes:1.17,lusitanus:17,equivalent,certain,
berendes:1.17,monardes:XVII,equivalent,certain,
berendes:1.17,wellmann:1.18,equivalent,certain,
laguna:1.18,lusitanus:17,equivalent,certain,
laguna:1.18,monardes:XVII,equivalent,certain,
laguna:1.18,wellmann:1.18,equivalent,certain,
lusitanus:17,monardes:XVII,equivalent,certain,
lusitanus:17,wellmann:1.18,equivalent,certain,
monardes:XVII,wellmann:1.18,equivalent,certain,
"barbaro:XVIII",beck:1.19,equivalent,certain,
"barbaro:XVIII",berendes:1.18,equivalent,certain,
"barbaro:XVIII",gunther:1.18,equivalent,certain,
"barbaro:XVIII",laguna:1.19,equivalent,certain,
"barbaro:XVIII",lusitanus:18,equivalent,certain,
"barbaro:XVIII",monardes:XVIII,equivalent,certain,
"barbaro:XVIII",wellmann:1.19,equivalent,certain,
beck:1.19,berendes:1.18,equivalent,certain,
beck:1.19,gunther:1.18,equivalent,certain,
beck:1.19,laguna:1.19,equivalent,certain,
beck:1.19,lusitanus:18,equivalent,certain,
beck:1.19,monardes:XVIII,equivalent,certain,
beck:1.19,wellmann:1.19,equivalent,certain,
berendes:1.18,gunther:1.18,equivalent,certain,
berendes:1.18,laguna:1.19,equivalent,certain,
berendes:1.18,lusitanus:18,equivalent,certain,
berendes:1.18,monardes:XVIII,equivalent,certain,
berendes:1.18,wellmann:1.19,equivalent,certain,
gunther:1.18,laguna:1.19,equivalent,certain,
gunther:1.18,lusitanus:18,equivalent,certain,
gunther:1.18,monardes:XVIII,equivalent,certain,
gunther:1.18,wellmann:1.19,equivalent,certain,
laguna:1.19,lusitanus:18,equivalent,certain,
laguna:1.19,monardes:XVIII,equivalent,certain,
laguna:1.19,wellmann:1.19,equivalent,certain,
