mm_id,chapter_key,berendes_term,beck_greek_lemma,beck_latin_lemma
MMK439,3.31,Wilder Dosten,ἀγριορίγανος,Marjoram
MMK440,3.32,Tragoriganon,τραγορίγανος,Goat’s marjoram
MMK441,3.33,Polei,γλήχων,Pennyroyal
MMK442,3.34,Diptam,δίκταμνον,Dittany of Crete
MMK443,3.35,Salbei,ἐλελίσφακον,Sage
MMK444,3.36,Gebaute Minze,ἡδύοσμον,Green mint
MMK445,3.37,Kalamintha,καλαμίνθη,Catmint
MMK446,3.38,Saturei,θύμος,Cretan thyme
MMK447,3.39,Thymbra,θύμβρα,Savory
MMK448,3.40,Quendel,ἕρπυλος,Tufted thyme
