edition,edition_entry_id,barbaro_page,barbaro_book,barbaro_chapter,barbaro_term
barbaro,row348,77,CCCXLIX,37,Brassica
barbaro,row349,78,CCCL,0,Brassica sylvestris
barbaro,row350,78,CCCLI,0,Brassica marina
barbaro,row351,78,CCCLII,0,Beta
barbaro,row352,79,CCCLIII,38,Andrachne sylvestris
barbaro,row353,79,CCCLIIII,38,Portulaca
barbaro,row354,79,CCCLV,38,Asparagus
barbaro,row355,79,CCCLVI,38,Plantago
barbaro,row356,79,CCCLVII,38,Sium
barbaro,row357,80,CCCLVIII,0,Sisymbrium
barbaro,row358,80,CCCLIX,0,Sisymbrium aquaticum aut sylvestre
barbaro,row359,80,CCCLX,0,Crethmon
barbaro,row360,80,CCCLXI,0,Coronopus
barbaro,row361,80,CCCLXII,0,Sonchos
barbaro,row362,80,CCCLXIII,0,Seris
barbaro,row363,80,CCCLXIIII,0,Condrilla
barbaro,row364,81,CCCLXV,37,Cucurbita
barbaro,row365,81,CCCLXVI,37,Cucumis
barbaro,row366,81,CCCLXVII,37,Pepo
barbaro,row367,82,CCCLXVIII,0,Lactuca
barbaro,row368,82,CCCLXIX,0,Lactuca sylvestris
barbaro,row369,82,CCCLXX,0,Gingidium
barbaro,row370,82,CCCLXXI,0,Scandix
barbaro,row371,82,CCCLXXII,0,Caucalis
barbaro,row372,82,CCCLXXIII,0,Eruca
barbaro,row373,82,CCCLXXIIII,0,Ocimum
barbaro,row374,83,CCCLXXV,38,Orobanche
barbaro,row375,83,CCCLXXVI,38,Tragopogon
barbaro,row376,83,CCCLXXVII,38,Ornithogale
barbaro,row377,83,CCCLXXVIII,38,Tubera terrae
barbaro,row378,83,CCCLXXIX,38,Smilax hortensis
barbaro,row379,83,CCCLXXX,38,Medica
barbaro,row380,84,CCCLXXXI,0,Aphace
barbaro,row381,84,CCCLXXXII,0,Porrum
barbaro,row382,84,CCCLXXXIII,0,Ampeloprason
barbaro,row383,84,CCCLXXXIIII,0,Cepa
barbaro,row384,84,CCCLXXXV,0,Allium
barbaro,row385,84,CCCLXXXVI,0,Scorodoprason
barbaro,row386,84,CCCLXXXVII,0,Sinapi
barbaro,row387,85,CCCLXXXVIII,39,Nasturtium
barbaro,row388,85,CCCLXXXIX,39,Thlaspae sive Thlapsi
barbaro,row389,85,CCCXC,39,Araba
barbaro,row390,85,CCCXCI,39,Erysimon
barbaro,row391,85,CCCXCII,39,Piper
barbaro,row392,85,CCCXCIII,39,Zinziber aut zinziberi
barbaro,row393,85,CCCXCIIII,39,Hydropiper
barbaro,row394,85,CCCXCV,39,Ptarmice
barbaro,row395,86,CCCXCVI,0,Struthion
barbaro,row396,86,CCCXCVII,0,Cyclaminos
barbaro,row397,86,CCCXCVIII,0,Altera cyclaminos
barbaro,row398,86,CCCXCIX,0,Dracunculus maior
barbaro,row399,86,CCCC,0,Dracunculus minor
barbaro,row400,86,CCCCI,0,Aros
barbaro,row401,86,CCCCII,0,Arisaron
barbaro,row402,87,CCCCIIII,42,Bulbus vomitorius
barbaro,row403,87,CCCCV,42,Bulbus esculentus
barbaro,row404,87,CCCCVI,42,Scilla
barbaro,row405,87,CCCCVII,42,Pancration
barbaro,row406,87,CCCCVIII,42,Capparis
barbaro,row407,87,CCCCIX,42,Lepidium
barbaro,row408,88,CCCCX,0,Batrachion
barbaro,row409,88,CCCCXI,0,Anemone
barbaro,row410,88,CCCCXII,0,Argemone
barbaro,row411,88,CCCCXIII,0,Argemone altera
barbaro,row412,88,CCCCXIIII,0,Anagallis
barbaro,row413,88,CCCCXV,0,Hedera
barbaro,row414,89,CCCCXVI,43,Chelidonium maius
barbaro,row415,89,CCCCXVII,43,Chelidonium minus
barbaro,row416,89,CCCCXVIII,43,Othonna
barbaro,row417,89,CCCCXIX,43,Myosotis
barbaro,row418,89,CCCCXX,43,Myosotis altera
barbaro,row419,89,CCCCXXI,43,Isatis
barbaro,row420,89,CCCCXXII,43,Isatis altera
barbaro,row421,89,CCCCXXIII,43,Arabis
barbaro,row422,90,CCCCXXV,0,Agaricum
barbaro,row423,90,CCCCXXVI,0,Rha Ponticum
barbaro,row424,90,CCCCXXVII,0,Gentiana
barbaro,row425,90,CCCCXXVIII,0,Aristolochia
barbaro,row426,91,CCCCXXIX,44,Aristolochia altera
barbaro,row427,91,CCCCXXX,44,Aristolochia altera
barbaro,row428,91,CCCCXXXI,44,Glycyrrhiza
barbaro,row429,91,CCCCXXXII,44,Centaurium maius
barbaro,row430,91,CCCCXXXIII,44,Centaurium minus
barbaro,row431,91,CCCCXXXIIII,44,Chamaeleon albus
barbaro,row432,91,CCCCXXXV,44,Chamaeleon niger
barbaro,row433,91,CCCCXXXVI,44,Crocodilion
barbaro,row434,91,CCCCXXXVII,44,Dipsacos
barbaro,row435,91,CCCCXXXVIII,44,Acantha leuce
barbaro,row436,91,CCCCXXXIX,44,Acantha Arabica
barbaro,row437,92,CCCCXL,0,Scolymos
barbaro,row438,92,CCCCXLI,0,Poterion
barbaro,row439,92,CCCCXLII,0,Acanthion
barbaro,row440,92,CCCCXLIII,0,Acantha
barbaro,row441,93,CCCCXLIIII,45,Agriacantha
barbaro,row442,93,CCCCXLV,45,Anonis
barbaro,row443,93,CCCCXLVI,45,Leucacantha
barbaro,row444,93,CCCCXLVII,45,Tragacantha
barbaro,row445,93,CCCCXLVIII,45,Eryngion
barbaro,row446,93,CCCCXLVIIII,45,Aloë
barbaro,row447,93,CCCCL,45,Absinthium
barbaro,row448,93,CCCCLII,45,Absinthium Santonicum
barbaro,row449,93,CCCCLIII,45,Abrotonum
barbaro,row450,94,CCCCLIIII,0,Hyssopum
barbaro,row451,94,CCCCLV,0,Stichas
barbaro,row452,94,CCCCLVI,0,Origanum
barbaro,row453,94,CCCCLVII,0,Origanum Ionitis
barbaro,row454,94,CCCCLVIII,0,Origanum sylvestre de Monstatum est
barbaro,row455,94,CCCCLIX,0,Tragoriganum
barbaro,row456,94,CCCCLX,0,Pulegium
barbaro,row457,94,CCCCLXI,0,Dictamnus
barbaro,row458,94,CCCCLXII,0,Pseudodictamnum
barbaro,row459,94,CCCCLXIII,0,Dictamnum aliud
barbaro,row460,94,CCCCLXIIII,0,Elelisphacos
barbaro,row461,95,CCCCLXV,46,Menta
barbaro,row462,95,CCCCLXVI,46,Mentastrum
barbaro,row463,95,CCCCLXVII,46,Calamintha
barbaro,row464,95,CCCCLXVIII,46,Thymum
barbaro,row465,95,CCCCLXVIIII,46,Thymbra
barbaro,row466,95,CCCCLXX,46,Serpillum
barbaro,row467,95,CCCCLXXI,46,Sampsuchus
barbaro,row468,96,CCCCLXXII,0,Melilotos
barbaro,row469,96,CCCCLXXIII,0,Marum
barbaro,row470,96,CCCCLXXIIII,0,Acinos
barbaro,row471,96,CCCCLXXV,0,Baccharis
barbaro,row472,96,CCCCLXXVI,0,Ruta
barbaro,row473,97,CCCCLXXVII,47,Ruta sylvestris
barbaro,row474,97,CCCCLXXVIII,47,Ruta Galatica
