edition,edition_entry_id,dmm_id,greek_lemma,latin_lemma
beck,row314,DMM2185,ἰσάτις ἄγρια,Wild woad
beck,row315,DMM2186,τηλεφώνιον,Telephonion
beck,row316,DMM3001,ἀγαρικόν,Agaric
beck,row317,DMM3002,ῥᾶ,Rhubarb
beck,row318,DMM3003,γεντιανή,Gentian
beck,row319,DMM3004,ἀριστολόχεια,Birthwort
beck,row320,DMM3005,γλυκύρριζα,Licorice
beck,row321,DMM3006,κενταύριον τὸ μέγα,Centaury
beck,row322,DMM3007,κενταύρειον τὸ λεπτόν ἢ μικρόν,Feverfew
beck,row323,DMM3008,χαμαιλέων λευκός,Pine thistle
beck,row324,DMM3009,[χαμαιλέων] ὁ μέλας,Chameleon thistle
beck,row325,DMM3010,κροκοδείλεον,Sea holly
beck,row326,DMM3011,δίψακος,Teasle
beck,row327,DMM3012,ἄκανθα λευκή,Fish thistle
beck,row328,DMM3013,ἄκανθα Ἀραβική,Smaller milk thistle
beck,row329,DMM3014,σκόλυμος,Golden thistle
beck,row330,DMM3015,ποτίρριον,Goat’s thorn
beck,row331,DMM3016,ἀκάνθιον,Cotton thistle
beck,row332,DMM3017,ἄκανθος,Bear’s-foot
beck,row333,DMM3018,ἀνωνίς,Rest harrow
beck,row334,DMM3019,λευκάκανθα,Tuberous thistle
beck,row335,DMM3020,τραγακάνθα,Tragacanth
beck,row336,DMM3021,ἠρύγγη,Eryngo
beck,row337,DMM3022,ἀλόη,Aloe
beck,row338,DMM3023,ἀψίνθιον,Wormwood
beck,row339,DMM3024,ἀβρότονον,Wormwood
beck,row340,DMM3025,ὕσσωπος,Hyssop
beck,row341,DMM3026,στοιχάς,French lavender
beck,row342,DMM3027,ὀρίγανος Ἡρακλεωτική,Oregano
beck,row343,DMM3028,ὀνῖτις,Oregano onitis
beck,row344,DMM3029,ἀγριορίγανος,Marjoram
beck,row345,DMM3030,τραγορίγανος,Goat’s marjoram
beck,row346,DMM3031,γλήχων,Pennyroyal
beck,row347,DMM3032,δίκταμνον,Dittany of Crete
beck,row348,DMM3033,ἐλελίσφακον,Sage
beck,row349,DMM3034,ἡδύοσμον,Green mint
beck,row350,DMM3035,καλαμίνθη,Catmint
beck,row351,DMM3036,θύμος,Cretan thyme
beck,row352,DMM3037,θύμβρα,Savory
beck,row353,DMM3038,ἕρπυλος,Tufted thyme
beck,row354,DMM3039,σάμψουχον,Marjoram
beck,row355,DMM3040,μελίλωτος,King’s clover
beck,row356,DMM3041,σισύβριον,Bergamot
beck,row357,DMM3042,μᾶρον ἢ ὑσόβρυον,Maron or Hysobryon
beck,row358,DMM3043,ἄκινος ἢ ἄκονος,Wild basil
beck,row359,DMM3044,βάκχαρις,Sowbread
beck,row360,DMM3045,πήγανον,Rue
beck,row361,DMM3046,πήγανον ἄγριον,Wild rue
beck,row362,DMM3047,μῶλυ,Garlic
beck,row363,DMM3048,πάνακες Ἡράκλειον,Hercules’ woundwort
beck,row364,DMM3049,πάνακες Ἀσκληπίειον,Aesculapius’ allheal
beck,row365,DMM3050,πάνακες Χειρώνιον,Panaces olympicum Chiron’s allheal
beck,row366,DMM3051,λιγυστικόν,Lovage
beck,row367,DMM3052,σταφυλῖνος ἄγριος,Wild carrot
beck,row368,DMM3053,σέσελι,Massilian hartwort
beck,row369,DMM3054,τόρδιλον,Cretan hartwort
beck,row370,DMM3055,σίνων,Stone parsley
beck,row371,DMM3056,ἄνησσον,Anise
beck,row372,DMM3057,καρώ,Caraway
beck,row373,DMM3058,ἄνηθον,Dill
beck,row374,DMM3059,κύμινον ἥμερον,Cultivated cumin
beck,row375,DMM3060,κύμινον ἄγριον,Wild cumin
beck,row376,DMM3061,ἕτερον γένος ἀγρίου κυμίνου,Another kind of wild cumin
beck,row377,DMM3062,ἄμι,Ajowan
beck,row378,DMM3063,κόριον,Coriander
beck,row379,DMM3064,σέλινον κηπαῖον,Garden celery
beck,row380,DMM3065,ὀρεοσέλινον,Mountain parsley
beck,row381,DMM3066,πετροσέλινον,Parsley
beck,row382,DMM3067,ἱπποσέλινον,Alexanders
beck,row383,DMM3068,σμύρνιον,Cretan alexanders
beck,row384,DMM3069,ἐλαφοβόσκον,Parsnip
beck,row385,DMM3070,μάραθον,Fennel
beck,row386,DMM3071,ἱππομάραθον,Horse fennel
beck,row387,DMM3072,δαῦκος,Daucos
beck,row388,DMM3073,πύρεθρος,Pellitory
beck,row389,DMM3074,λιβανωτίς,Rosemary frankincense
beck,row390,DMM3075,λιβανωτίς,Rosemary
beck,row391,DMM3076,σφονδύλιον,Cow-parsnip
beck,row392,DMM3077,νάρθηξ,Giant fennel
beck,row393,DMM3078,πευκέδανον,Sulphurwort
beck,row394,DMM3079,μελάνθιον,Black cumin
beck,row395,DMM3080,σίλφιον,Laserwort
beck,row396,DMM3081,σαγάπηνον,Sagapenon
beck,row397,DMM3082,εὐφόρβιον,Spurge
beck,row398,DMM3083,χαλβάνη,Galbanum
beck,row399,DMM3084,ἀμμωνιακόν,Gum ammoniac
beck,row400,DMM3085,σαρκοκόλλα,Sarcocolla
beck,row401,DMM3086,γλαύκιον,Glaucion
beck,row402,DMM3087,κόλλα,Glue
