edition,edition_entry_id,matthiolo_book,matthiolo_chapter,matthiolo_greek,matthiolo_latin
matthiolo,row736,LX,5.6,Μολίβδαινα,MOLI<B>DAENA SEU PLUMBAGO
matthiolo,row737,LXI,5.61,Ἀργύρου σκωρία,ARGENTI RECREMENTUM
matthiolo,row738,LXII,5.62,Λιθάργυρος,SPUMA ARGENTI
matthiolo,row739,LXIII,5.63,Ψιμμίθιον,CERUSSA
matthiolo,row740,LXIV,5.64,Χρυσοκόλλα,CHRYSOCOLLA
matthiolo,row741,LXV,5.65,Λίθος ἀρμένιος,LAPIS ARMENIUS
matthiolo,row742,LXVI,5.66,Κυανός λίθος,COERULEUS LAPIS
matthiolo,row743,LXVII,5.67,Ἰνδικόν,INDICUM
matthiolo,row744,LXVIII,5.68,Ὄχρα,OCHRA
matthiolo,row745,LXIX,5.69,Κιννάβαρις,CINNABARIS
matthiolo,row746,LXX,5.7,Ὑδράργυρος,ARGENTUM VIVUM
matthiolo,row747,LXXI,5.71,Μίλτος σινωπική,RUBRICA SINOPICA
matthiolo,row748,LXXII,5.72,Μίλτος τεκτονική,RUBRICA FABRILIS
matthiolo,row749,LXXIII,5.73,Λημνία γῆ,LEMNIA TERRA
matthiolo,row750,LXXIV,5.74,Χάλκανθον,ATRAMENTUM SUTORIUM
matthiolo,row751,LXXV,5.75,Χαλκῖτις,CHALCITIS
matthiolo,row752,LXXVI,5.76,Μίσυ,MISY
matthiolo,row753,LXXVII,5.77,Μελαντηρία,MELANTERIA
matthiolo,row754,LXXVIII,5.78,Σῶρυ,SORY
matthiolo,row755,LXXIX,5.79,Διφρυγές,DIPHRYGES
matthiolo,row756,LXXX,5.8,Ἀρσενικόν,AURIPIGMENTUM
matthiolo,row757,LXXXI,5.81,Σανδαράχη,SANDARACHA
matthiolo,row758,LXXXII,5.82,Στυπτηρία,ALUMEN
matthiolo,row759,LXXXIII,5.83,Θεῖον,SULPHUR
matthiolo,row760,LXXXIV,5.84,Κίσσηρις,PUMEX
matthiolo,row761,LXXXV,5.85,Ἄλς,SAL
matthiolo,row762,LXXXVI,5.86,Ἀλός ἄχνη,SALIS SPUMA
matthiolo,row763,LXXXVII,5.87,Ἄλμη,MURIA
matthiolo,row764,LXXXVIII,5.88,Ἀλός ἄνθος,FLOS SALIS
matthiolo,row765,LXXXIX,5.89,Νίτρον - ἀφρόνιτρον,NITRUM
matthiolo,row766,XC,5.9,Τρύξ,FAEX
matthiolo,row767,XCI,5.91,Ἄσβεστος  _x0096_ CALX VIVA,
matthiolo,row768,XCII,5.92,Γύψος,GYPSUM
matthiolo,row769,XCIII,5.93,Τέφρα κληματίνη,SARMENTITIUS CINIS
matthiolo,row770,XCIV,5.94,Ἀλκυόνιον,ALCYONIUM
matthiolo,row771,XCV,5.95,Ἀδάρκης,ADARCES
matthiolo,row772,XCVI,5.96,Σπόγγοι,SPONGIAE
matthiolo,row773,XCVII,5.97,Κοράλλιον,CORALLIUM
matthiolo,row774,XCVIII,5.98,Λίθος φρύγιος,LAPIS PHRYGIUS
matthiolo,row775,XCIX,5.99,Λίθος ἄσιος,LAPIS ASIUS
matthiolo,row776,C,5.1,Λίθος πυρίτης,LAPIS PYRITES
matthiolo,row777,CI,5.101,Λίθος αἱματίτης,LAPIS HAEMATITES
matthiolo,row778,CII,5.102,Λίθος σχιστός,LAPIS SCHISTUS
matthiolo,row779,CIII,5.103,Λίθος γαγάτης,LAPIS GAGATES
matthiolo,row780,CIV,5.104,Λίθος θρακίας,LAPIS THRACIUS
matthiolo,row781,CV,5.105,Λίθος μαγνῆτις,LAPIS MAGNES
matthiolo,row782,CVI,5.106,Λίθος ἀραβικός,LAPIS ARABICUS
matthiolo,row783,CVII,5.107,Λίθος γαλακτίτης,LAPIS GALACTITES
matthiolo,row784,CVIII,5.108,Λίθος μελιτίτης,LAPIS MELITITES
matthiolo,row785,CIX,5.109,Λίθος μορόχθος _x0096_ LAPIS MOROCHTHUS,
matthiolo,row786,CX,5.11,Λίθος ἀλαβαστρίτης,LAPIS ALABASTRITES
matthiolo,row787,CXI,5.111,Λίθος θυΐτης,LAPIS THYITES
matthiolo,row788,CXII,5.112,Λίθος ἰουδαϊκός,LAPIS IUDAICUS
matthiolo,row789,CXIII,5.113,Λίθος ἀμίαντος,LAPIS AMIANTUS
matthiolo,row790,CXIV,5.114,Λίθος σάπφειρος,LAPIS SAPPHIRUS
matthiolo,row791,CXV,5.115,Λίθος μεμφίτης,LAPIS MEMPHITES
matthiolo,row792,CXVI,5.116,Λίθος σεληνίτης,LAPIS SELENITES
matthiolo,row793,CXVII,5.117,Λίθος ἴασπις,LAPIS IASPIS
matthiolo,row794,CXVIII,5.118,Λίθος ἀετίτης,LAPIS AETITES
matthiolo,row795,CXIX,5.119,Λίθος ὀφίτης,LAPIS OPHITES
matthiolo,row796,CXX,5.12,Λίθοι ἐν τοῖς σπόγγοις,LAPIDES IN SPONGIIS
matthiolo,row797,CXXI,5.121,Λιθοκόλλα,LITHOCOLLA
matthiolo,row798,CXXII,5.122,Λίθος ὀστρακίτης,LAPIS OSTRACITES
matthiolo,row799,CXXIII,5.123,Σμύρις λίθος_x0096_ SMYRIS LAPIS,
matthiolo,row800,CXXIV,5.124,Ἄμμος αἰγιαλῖτις,ARENA LITORALIS
matthiolo,row801,CXXV,5.125,Ἀκόνη ναξία,LAPIS NAXIUS
matthiolo,row802,CXXVI,5.126,Λίθος γεώδης,LAPIS GEODES
matthiolo,row803,CXXVII,5.127,Γῆ πᾶσα,TERRA OMNIS
matthiolo,row804,CXXVIII,5.128,Γῆ ἐρετρίας,TERRA ERETRIA
matthiolo,row805,CXXIX,5.129,Γῆ σαμία,TERRA SAMIA
matthiolo,row806,CXXX,5.13,Λίθος σάμιος,LAPIS SAMIUS
matthiolo,row807,CXXXI,5.131,Γῆ χία,TERRA CHIA
matthiolo,row808,CXXXII,5.132,Γῆ σελινουσία,TERRA SELINUSIA
matthiolo,row809,CXXXIII,5.133,Γῆ κιμωλία,TERRA CIMOLIA
matthiolo,row810,CXXXIV,5.134,Γῆ πνιγῖτις,TERRA PNIGITIS
matthiolo,row811,CXXXV,5.135,Ὄστρακα τῶν ἰπνῶν,TESTAE FORNACEAE
matthiolo,row812,CXXXVI,5.136,Γῆ ἐκ τῶν καμίνων,TERRA FORNACUM
matthiolo,row813,CXXXVII,5.137,Γῆ μηλία,TERRA MELIA
matthiolo,row814,CXXXVIII,5.138,Γῆ ἀμπελῖτις  _x0096_ TERRA AMPELITIS,
matthiolo,row815,CXXXIX,5.139,Ἀσβόλη ζωγραφική,FULIGO PICTORIA
matthiolo,row816,CXL,5.14,Μέλαν γραφικόν,ATRAMENTUM LIBRARIUM
matthiolo,row817,I,6.1,Κανθαρίδες,CANTHARIDES
matthiolo,row818,II,6.2,Πιτυοκάμπαι,PINORUM ERUCAE
matthiolo,row819,III,6.3,Βούπρηστις,BUPRESTIS
matthiolo,row820,IV,6.4,Σαλαμάνδρα,SALAMANDRA
matthiolo,row821,V,6.5,Ἐφήμερον,EPHEMERUM
matthiolo,row822,VI,6.6,Δορύκνιον,DORYCNIUM
matthiolo,row823,VII,6.7,Ἀκόνιτον,ACONITUM
matthiolo,row824,VIII,6.8,Μέλι τῆς Ἡρακλείας,MEL HERACLIAE
matthiolo,row825,IX,6.9,Κόριον,CORIANDRUM
matthiolo,row826,X,6.1,Ψύλλιον,PSYLLIUM
matthiolo,row827,XI,6.11,Κώνειον,CICUTA
matthiolo,row828,XII,6.12,Σμίλαξ,TAXUS
matthiolo,row829,XIII,6.13,Καρπάσου ὀπός,CARPASI SUCCUS
matthiolo,row830,XIV,6.14,Σαρδονία πόα,SARDONIA HERBA
matthiolo,row831,XV,6.15,Ὑοσκύαμος,HYOSCYAMUS
matthiolo,row832,XVI,6.16,Μανδραγόρας,MANDRAGORA
matthiolo,row833,XVII,6.17,Μηκώνειον,MECONIUM
matthiolo,row834,XVIII,6.18,Μήκων κερατῖτις,PAPAVER CORNICULATUM
matthiolo,row835,XIX,6.19,Φαρικόν,PHARICUM
matthiolo,row836,XX,6.2,Τοξικόν,TOXICUM
matthiolo,row837,XXI,6.21,Ἰξίας,IXIA
matthiolo,row838,XXII,6.22,Ψιμμίθιον,CERUSSA
matthiolo,row839,XXIII,6.23,Μυκήτες,FUNGI
matthiolo,row840,XXIV,6.24,Γύψος,GYPSUM
matthiolo,row841,XXV,6.25,Αἷμα ταύρειος,SANGUIS TAURINUS
matthiolo,row842,XXVI,6.26,Γάλα ἐμπυτιασθέν,LAC INTUS COAGULATUM
matthiolo,row843,XXVII,6.27,Λιθάργυρος,ARGENTI SPUMA
matthiolo,row844,XXVIII,6.28,Ὑδράργυρος,ARGENTUM VIVUM
matthiolo,row845,XXIX,6.29,"Τίτανος, σανδαράχη, ἀρσενικόν CALX, SANDARACHA, AURIPIGMENTUM",
matthiolo,row846,XXX,6.3,Λαγωός θαλάσσιος  _x0096_ LEPUS MARINUS,
matthiolo,row847,XXXI,6.31,Φρύνος καὶ βάτραχος ἕλειος,RUBETA ET PALUSTRIS RANA
matthiolo,row848,XXXII,6.32,Βδέλλα,HIRUDO
matthiolo,row849,XXXIII,6.33,"Ἑλλέβορος λευκός, θαψία, ἐλατήριον, ἀγαρικόν μέλαν VERATRUM ALBUM, THAPSIA, ELATERIUM, AGARICUM NIGRUM",
matthiolo,row850,XXXIV,6.34,Οἰκεῖα ἡμῖν,DOMESTICA NOBIS
matthiolo,row851,XXXV,6.35,Ἰοβόλα,VENENATA
matthiolo,row852,XXXVI,6.36,Σημεῖα κυνός λυοσσῶντος καὶ τῶν ὑπ'αὐτοῦ δεδηγμένων SIGNA RABIOSI CANIS ET DEMORSORUM AB EO,
matthiolo,row853,XXXVII,6.37,Θεραπεία τῶν ὑπὸ λυοσσῶντος κυνός δηγμάτων REMEDIA DEMORSORUM A CANE RABIOSO,
matthiolo,row854,XXXVIII,6.38,Καῦσις τῶν ὑπὸ λυοσσῶντος κυνός δηγμάτων USTIO DEMORSORUM A CANE RABIOSO,
matthiolo,row855,XXXIX,6.39,Δίαιτα τῶν ὑπὸ κυνός λυοσσῶντος δηχθέντων RATIO VICTUS IN MORSU RABIOSI CANIS,
matthiolo,row856,XL,6.4,Κοινή τῶν ἰοβόλων θεραπεία COMMUNIS CURATIO IN OMNES ICTUS VIRULENTOS,
matthiolo,row857,XLI,6.41,Σφήκες καὶ μέλισσαι,Vespae et Apes
matthiolo,row858,XLII,6.42,Φαλάγγια,PHALANGIA
matthiolo,row859,XLIII,6.43,Σκολόπενδρα,SCOLOPENDRA
matthiolo,row860,XLIV,6.44,Σκορπίος,SCORPIO
matthiolo,row861,XLV,6.45,"Τρυγών θαλάσσια, σκορπίος καὶ δράκων θαλάσσιοι PASTINACA MARINA, SCORPIO ET DRACO MARINI",
matthiolo,row862,XLVI,6.46,Μυγάλη,MUS ARANEUS
matthiolo,row863,XLVII,6.47,Ἔχιδνα,VIPERA
matthiolo,row864,XLVIII,6.48,Σκυτάλη καὶ ἀμφισβαῖνα,CAECILIA ET AMPHISBAENA
matthiolo,row865,XLIX,6.49,Δρύϊνος,DRYINUS
matthiolo,row866,L,6.5,Αἱμόῤῥοος καὶ διψάς,HAEMORRHOUS ET DIPSAS
matthiolo,row867,LI,6.51,Ὕδρος,NATRIX
matthiolo,row868,LII,6.52,Κέγχρος,CENCHRUS
matthiolo,row869,LIII,6.53,Κεράστης,CERASTES
matthiolo,row870,LIV,6.54,Ἀσπίς,ASPIS
matthiolo,row871,LV,6.55,Βασιλίσκος,BASILISCUS
