edition,edition_entry_id,desmoulins_page,desmoulins_chapter,desmoulins_term
desmoulins,row216,247,Chap. LXVIII,Du caille.
desmoulins,row217,247,Chap. LXIX,De la graisse.
desmoulins,row218,250,Chap. LXX,De la mouelle.
desmoulins,row219,250,Chap. LXXI,Du fiel.
desmoulins,row220,251,Chap. LXXII,Du sang.
desmoulins,row221,252,Chap. LXXIII,De la fiante.
desmoulins,row222,254,Chap. LXXIIII,De l'urine.
desmoulins,row223,255,Chap. LXXV,Du miel.
desmoulins,row224,258,Chap. LXXVI,De la cire.
desmoulins,row225,258,Chap. LXXVII,De propolis.
desmoulins,row226,260,Chap. LXXVIII,Du fourment.
desmoulins,row227,263,Chap. LXXIX,De l'orge.
desmoulins,row228,264,Chap. LXXX,Du zythum espece de biere.
desmoulins,row229,264,Chap. LXXXI,Du curmi autre espece de biere ou cervoise.
desmoulins,row230,264,Chap. LXXXII,De l'espeaute.
desmoulins,row231,265,Chap. LXXXIII,De crimnon.
desmoulins,row232,265,Chap. LXXXIII,De olyra.
desmoulins,row233,266,Chap. LXXXV,De athera.
desmoulins,row234,266,Chap. LXXXVI,Du turguet double.
desmoulins,row235,266,Chap. LXXXVII,De l'avoine.
desmoulins,row236,267,Chap. LXXXVIII,Du riz.
desmoulins,row237,268,Chap. LXXXIX,De l'alicat.
desmoulins,row238,268,Chap. XC,Du millet.
desmoulins,row239,269,Chap. XCI,Du paniz.
desmoulins,row240,270,Chap. XCII,Du sisame ou iugioline.
desmoulins,row241,271,Chap. XCIII,De l'ivraye.
desmoulins,row242,272,Chap. XCIIII,De l'amidon.
desmoulins,row243,272,Chap. XCV,Du senegre.
desmoulins,row244,273,Chap. XCVI,Du lin.
desmoulins,row245,274,Chap. XCVII,Des pois ciches.
desmoulins,row246,275,Chap. XCVIII,Des feves.
desmoulins,row247,277,Chap. XCIX,De la feve d'Egypte.
desmoulins,row248,278,Chap. C,Des lentilles.
desmoulins,row249,279,Chap. CI,Des phasiols.
desmoulins,row250,281,Chap. CII,Des ers.
desmoulins,row251,282,Chap. CIII,Des lupins.
desmoulins,row252,283,Chap. CIIII,De la rave.
desmoulins,row253,284,Chap. CV,Du navet ou naveau.
desmoulins,row254,285,Chap. CVI,Du refort.
desmoulins,row255,286,Chap. CVII,Du siser.
desmoulins,row256,288,Chap. CVIII,De lapathum.
desmoulins,row257,290,Chap. CIX,De la lampsane.
desmoulins,row258,290,Chap. CX,De la blette.
desmoulins,row259,291,Chap. CXI,De la mauve.
desmoulins,row260,293,Chap. CXII,Des arroches.
desmoulins,row261,295,Chap. CXIII,Du chou.
desmoulins,row262,296,Chap. CXIIII,Du chou sauvage.
desmoulins,row263,296,Chap. CXV,Du chou marin.
desmoulins,row264,297,Chap. CXVI,De la poree.
desmoulins,row265,299,Chap. CXVII,Du pourpier.
desmoulins,row266,299,Chap. CXVIII,Des asparges.
desmoulins,row267,300,Chap. CXIX,Du plantain.
desmoulins,row268,302,Chap. CXX,De la berle.
desmoulins,row269,303,Chap. CXXI,De la menthe aquatique.
desmoulins,row270,305,Chap. CXXII,"Du fenouil marin, ou bacille."
desmoulins,row271,306,Chap. CXXIII,De la corne de cerf.
desmoulins,row272,307,Chap. CXXIIII,Du laicteron.
desmoulins,row273,309,Chap. CXXV,De l'endive.
desmoulins,row274,312,Chap. CXXVI,De la condrille.
desmoulins,row275,313,Chap. CXXVII,De la courge.
desmoulins,row276,314,Chap. CXXVIII,Du concombre.
